,,,,
,,Budget/month,01/01/26,01/02/26
Bills,Rent,1650,,
,Gas,66,,
,Electric,40,,
,Internet,60.91,,
,Total,,,
Needs,Retirement Fund,1125,,
,Groceries,360,,
,Transportation,100,,
,Bike Maintenance,20,,
,Clothing,30,,
,Home Cleaning,30,,
,State + Federal Taxes,858.08,,
,Medical,,,
,Total,,,
Wants,Dates,,,
,Books,,,
,Personal Projects,,,
,Gym Membership,,,
,Spotify Subscription,,,
,Makerspace Membership,,,
,Eating Out,,,
,Music Lessons and Gear,,,
,Holidays and Gifts,,,
,Home Decor and Improvement,,,
,"Travel for Family, Friends",,,
,Dream Vacation,,,
,"Activities, non-dates",,,
,Things I missed,,,
,Total,,,
Income,Salary,,,
,Gifts,,,
,Selling Things,,,
,Refunds + Rewards,,,
,Total,,,
Investments,401k,,,
,Roth IRA,,,
,ETFs,,,
,Total,,,
